file_url,season,brand,tags
https://cdn.tag-walk.com/view/louisvuittonss240001-dbd17e58eaa23aaf6968.JPG,Spring/Summer 2024,Louis Vuitton,beige;dress;belt
https://cdn.tag-walk.com/view/louisvuittonss240019-80c2cc92f92e430b37a9.JPG,Spring/Summer 2024,Louis Vuitton,black;hoodie;bag
https://cdn.tag-walk.com/view/balmainss240004-de56114c4b991391ce54.JPG,Spring/Summer 2024,Balmain,black;dress;hoes
https://cdn.tag-walk.com/view/balmainss240020-5f533474afa3b0b84612.JPG,Spring/Summer 2024,Balmain,white;dress;flowers
https://cdn.tag-walk.com/view/isabelmarantss240011-4d84a08e54594729e4bd.JPG,Spring/Summer 2024,Isabel Marant,red;dress
https://cdn.tag-walk.com/view/isabelmarantss240019-05b0c98255a9a90e76ea.JPG,Spring/Summer 2024,Isabel Marant,white;pants
https://cdn.tag-walk.com/view/miimiuss240058-a72c2cb81a850a9c006c.JPG,Spring/Summer 2024,Miu Miu,blue;shorts;skirt
https://cdn.tag-walk.com/view/hermesss240025-b7a95f77d941b30dfce6.jpg,Spring/Summer 2024,Hermès,white;skirt;bra
https://cdn.tag-walk.com/view/hermesss240045-f4253478bba2daa8bff4.jpg,Spring/Summer 2024,Hermès,red;coat
https://cdn.tag-walk.com/view/dolcegabbanaaw230009-5a3fb41ae19d8368afb0.JPG,,Dolce & Gabbana,black;coat;sunglasses
https://cdn.tag-walk.com/view/dolcegabbanaaw230029-73824cfd6b084c6bfa0e.JPG,Fall/Winter 2023,Dolce & Gabbana,black;coat;fur
https://cdn.tag-walk.com/view/fendiaw230021-ec055fb28edc15b47881.JPG,Fall/Winter 2023,Fendi,white;dress
https://cdn.tag-walk.com/view/mugleraw230031-62855bb6.jpg,Fall/Winter 2023,Mugler,black;dress;boots
